RS;PDT;1212;DARCI POMPEO DE MATTOS;POMPEO DE MATTOS;Deputado Federal;Apto;Deferido
RS;PMDB;1502;DARCISIO PAULO PERONDI;PERONDI;Deputado Federal;Apto;Deferido
SC;PT;1313;D�CIO NERY DE LIMA;D�CIO LIMA;Deputado Federal;Apto;Deferido
PR;PHS;3131;DIEGO ALEXSANDER GON�ALO PAULA GARCIA;DIEGO GARCIA;Deputado Federal;Apto;Deferido
MG;PSD;5555;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;Deputado Federal;Apto;Deferido
PR;PP;1122;DILCEU JO�O SPERAFICO;DILCEU SPERAFICO;Deputado Federal;Apto;Deferido
MG;PP;1111;DIMAS FABIANO TOLEDO J�NIOR;DIMAS FABIANO;Deputado Federal;Apto;Deferido
RS;PT;1355;DIONILSO MATEUS MARCON;MARCON;Deputado Federal;Apto;Deferido
CE;PROS;9090;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;Deputado Federal;Apto;Deferido
MG;PSDB;4560;DOMINGOS SAVIO CAMPOS RESENDE;DOMINGOS S�VIO;Deputado Federal;Apto;Deferido
TO;PMDB;1511;DULCE FERREIRA PAGANI MIRANDA;DULCE MIRANDA;Deputado Federal;Apto;Deferido
PA;PSD;5500;�DER MAURO CARDOSO BARRA;DELEGADO EDER MAURO;Deputado Federal;Apto;Deferido
RR;PMDB;1515;EDIO VIEIRA LOPES;EDIO LOPES;Deputado Federal;Apto;Deferido
PR;PSC;2023;EDMAR DE SOUZA ARRUDA;EDMAR ARRUDA;Deputado Federal;Apto;Deferido
PA;PSOL;5050;EDMILSON BRITO RODRIGUES;EDMILSON RODRIGUES;Deputado Federal;Apto;Deferido
SP;PMDB;1523;EDSON EDINHO COELHO ARAUJO;EDINHO ARAUJO;Deputado Federal;Apto;Deferido
MG;PTN;1907;EDSON MOREIRA DA SILVA;DELEGADO EDSON MOREIRA;Deputado Federal;Apto;Deferido
RJ;PMDB;1530;EDUARDO COSENTINO DA CUNHA;EDUARDO CUNHA;Deputado Federal;Apto;Deferido
PE;PP;1111;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;Deputado Federal;Apto;Deferido
MG;PSDB;4535;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;Deputado Federal;Apto;Deferido
SP;PSC;2070;EDUARDO NANTES BOLSONARO;EDUARDO BOLSONARO;Deputado Federal;Apto;Deferido
SP;PSDB;4515;EDUARDO PEDROSA CURY;EDUARDO CURY;Deputado Federal;Apto;Deferido
PB;DEM;2511;EFRAIM DE ARA�JO MORAIS FILHO;EFRAIM FILHO;Deputado Federal;Apto;Deferido
PA;PMDB;1515;ELCIONE THEREZINHA ZAHLUTH BARBALHO;ELCIONE;Deputado Federal;Apto;Deferido
MA;PPS;2323;ELIZIANE PEREIRA GAMA FERREIRA;ELIZIANE GAMA;Deputado Federal;Apto;Deferido
BA;DEM;2552;ELMAR JOS� VIEIRA NASCIMENTO;ELMAR;Deputado Federal;Apto;Deferido
RS;PT;1320;ELVINO JOSE BOHN GASS;BOHN GASS;Deputado Federal;Apto;Deferido
PR;PT;1330;ENIO JOS� VERRI;ENIO VERRI;Deputado Federal;Apto;Deferido
DF;PT;1331;�RIKA JUC� KOKAY;�RIKA KOKAY;Deputado Federal;Apto;Deferido
BA;PSC;2012;ERIVELTON LIMA SANTANA;ERIVELTON SANTANA;Deputado Federal;Apto;Deferido
BA;PRB;1012;ERONILDES VASCONCELOS CARVALHO;TIA ERON;Deputado Federal;Apto;Deferido
MG;PTB;1433;EROS FERREIRA BIONDINI;EROS BIONDINI;Deputado Federal;Apto;Deferido
SC;PP;1133;ESPERIDI�O AMIN HELOU FILHO;ESPERIDI�O AMIN;Deputado Federal;Apto;Deferido
ES;PV;4343;EVAIR VIEIRA DE MELO;EVAIR DE MELO;Deputado Federal;Apto;Deferido
SP;PV;4336;EVANDRO HERRERA BERTONE GUSSI;EVANDRO GUSSI;Deputado Federal;Apto;Deferido
PR;PSD;5533;EVANDRO ROG�RIO ROMAN;EVANDRO ROMAN;Deputado Federal;Apto;Deferido
RO;SD;7745;EXPEDITO GON�ALVES FERREIRA NETTO;EXPEDITO NETTO;Deputado Federal;Apto;Deferido
MT;PP;1111;EZEQUIEL ANGELO FONSECA;EZEQUIEL FONSECA;Deputado Federal;Apto;Deferido
RJ;SD;7725;EZEQUIEL CORTAZ TEIXEIRA;EZEQUIEL TEIXEIRA;Deputado Federal;Apto;Deferido
RJ;PT;1303;FABIANO TAQUES HORTA;FABIANO HORTA;Deputado Federal;Apto;Deferido
PI;PTB;1490;F�BIO ABREU COSTA;CAPIT�O FABIO ABREU;Deputado Federal;Apto;Deferido
MG;PV;4311;FABIO AUGUSTO RAMALHO DOS SANTOS;FABINHO RAMALHO;Deputado Federal;Apto;Deferido
SE;PSD;5555;F�BIO CRUZ MITIDIERI;F�BIO MITIDIERI;Deputado Federal;Apto;Deferido
SE;PMDB;1515;F�BIO DE ALMEIDA REIS;F�BIO REIS;Deputado Federal;Apto;Deferido
GO;PSDB;4578;F�BIO FERNANDES DE SOUSA;F�BIO SOUSA;Deputado Federal;Apto;Deferido
MT;PSB;4010;FABIO PAULINO GARCIA;FABIO GARCIA;Deputado Federal;Apto;Deferido
RN;PSD;5555;F�BIO SALUSTINO MESQUITA DE FARIA;FABIO FARIA;Deputado Federal;Apto;Deferido
SP;PRB;1023;FAUSTO RUY PINATO;FAUSTO PINATO;Deputado Federal;Apto;Deferido
PE;PSB;4004;FELIPE AUGUSTO LYRA CARRERAS;FELIPE CARRERAS;Deputado Federal;Apto;Deferido
RN;DEM;2512;FELIPE CATAL�O MAIA;FELIPE MAIA;Deputado Federal;Apto;Deferido
RJ;PSD;5522;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;Deputado Federal;Apto;Deferido
BA;PDT;1234;FELIX DE ALMEIDA MENDON�A JUNIOR;FELIX JR;Deputado Federal;Apto;Deferido
RJ;PMDB;1550;FERNANDO ANTONIO CECILIANO JORD�O;FERNANDO JORD�O;Deputado Federal;Apto;Deferido
PE;PSB;4001;FERNANDO BEZERRA DE SOUZA COELHO FILHO;FERNANDO FILHO;Deputado Federal;Apto;Deferido
PR;SD;7777;FERNANDO DESTITO FRANCISCHINI;DELEGADO FRANCISCHINI;Deputado Federal;Apto;Deferido
PR;PR;2200;FERNANDO LUCIO GIACOBO;GIACOBO;Deputado Federal;Apto;Deferido
GO;PDT;1212;FLAVIA CARREIRO ALBUQUERQUE MORAIS;FLAVIA MORAIS;Deputado Federal;Apto;Deferido
AC;PMDB;1555;FLAVIANO FL�VIO BAPTISTA DE MELO;FLAVIANO MELO;Deputado Federal;Apto;Deferido
CE;PR;2290;FLAVIO ALVES SABINO;CABO SABINO;Deputado Federal;Apto;Deferido
SP;PSB;4030;FLAVIO AUGUSTO DA SILVA;FLAVINHO;Deputado Federal;Apto;Deferido
PA;PSD;5577;FRANCISCO ALVES DE AGUIAR;CHAPADINHA;Deputado Federal;Apto;Deferido
CE;PMDB;1513;FRANCISCO DANILO BASTOS FORTE;DANILO FORTE;Deputado Federal;Apto;Deferido
PI;PT;1313;FRANCISCO DE ASSIS CARVALHO GON�ALVES;ASSIS CARVALHO;Deputado Federal;Apto;Deferido
PE;PSB;4050;FRANCISCO EURICO DA SILVA;PASTOR EURICO;Deputado Federal;Apto;Deferido
SP;PR;2222;FRANCISCO EVERARDO OLIVEIRA SILVA;TIRIRICA;Deputado Federal;Apto;Deferido
